"responseid	respid	d3	d5	d6a	dagechildfinal	d7	d8	ITEM_01	ITEM_02	ITEM_03	ITEM_04	ITEM_05	ITEM_06	ITEM_07	ITEM_08	ITEM_09	ITEM_10	ITEM_11	ITEM_12	ITEM_13	ITEM_14	ITEM_15	ITEM_16	ITEM_17	ITEM_18	ITEM_19	ITEM_20	ITEM_21	ITEM_22	ITEM_23	ITEM_24	ITEM_25	a2	a3_1	a3_2	a3_3	a3dk	a4_1	a5_1	a6_1	a4_2	a5_2	a6_2	a4_3	a5_3	a6_3	a7	a10_1	a10_2	a10_3	a10_4	a10_5	a10_6	a10_7	a10_8	a10_9	a10_10	a10_11	a10_12	dob	gender	age	ageband	natrepage	gor	child_gender	c_age	white	ITEM_07r	ITEM_21r	ITEM_25r	ITEM_11r	ITEM_14r	rc_game_01_name	rc_game01_edition	pegi_one_violence	rc_game01_confidence	rc_game_01_rating_ESRB	rc_game_01_esrb_Alcohol	rc_game_01_esrb_Animated_Blood	rc_game_01_esrb_Blood	rc_game_01_esrb_Blood_and_Gore	rc_game_01_esrb_Cartoon_Violence	rc_game_01_esrb_Comic_Mischief	rc_game_01_esrb_Crude_Humor	rc_game_01_esrb_Drug_Reference	rc_game_01_esrb_Fantasy_Violence	rc_game_01_esrb_Intense_Violence	rc_game_01_esrb_Language	rc_game_01_esrb_Lyrics	rc_game_01_esrb_Mature_Humor	rc_game_01_esrb_Nudity	rc_game_01_esrb_Partial_Nudity	rc_game_01_esrb_Real_Gambling	rc_game_01_esrb_Sexual_Content	rc_game_01_esrb_Sexual_Themes	rc_game_01_esrb_Sexual_Violence	rc_game_01_esrb_Simulated_Gambling	rc_game_01_esrb_Strong_Language	rc_game_01_esrb_Strong_Lyrics	rc_game_01_esrb_Strong_Sexual_Content	rc_game_01_esrb_Suggestive_Themes	rc_game_01_esrb_Tobacco_Reference	rc_game_01_esrb_Use_of_Alcohol	rc_game_01_esrb_Use_of_Drugs	rc_game_01_esrb_Use_of_Tobacco	rc_game_01_esrb_Violence	rc_game_01_esrb_Violent_References	rc_a2	rc_a3dk	rc_game_01_rating_PEGI	rc_game_01_violence_PEGI	rc_game_01_language_PEGI	rc_game_01_fear_PEGI	rc_game_01_gambling_PEGI	rc_game_01_sex_PEGI	rc_game_01_drugs_PEGI	rc_game_01_discrimination_PEGI	rc_game_01_how	rc_game_01_multi	rc_game_01_time	rc_game_02_name	rc_game_02_edition	rc_game02_confidence	rc_game_02_rating_ESRB	rc_game_02_esrb_Alcohol	rc_game_02_esrb_Animated_Blood	rc_game_02_esrb_Blood	rc_game_02_esrb_Blood_and_Gore	rc_game_02_esrb_Cartoon_Violence	rc_game_02_esrb_Comic_Mischief	rc_game_02_esrb_Crude_Humor	rc_game_02_esrb_Drug_Reference	rc_game_02_esrb_Fantasy_Violence	rc_game_02_esrb_Intense_Violence	rc_game_02_esrb_Language	rc_game_02_esrb_Lyrics	rc_game_02_esrb_Mature_Humor	rc_game_02_esrb_Nudity	rc_game_02_esrb_Partial_Nudity	rc_game_02_esrb_Real_Gambling	rc_game_02_esrb_Sexual_Content	rc_game_02_esrb_Sexual_Themes	rc_game_02_esrb_Sexual_Violence	rc_game_02_esrb_Simulated_Gambling	rc_game_02_esrb_Strong_Language	rc_game_02_esrb_Strong_Lyrics	rc_game_02_esrb_Strong_Sexual_Content	rc_game_02_esrb_Suggestive_Themes	rc_game_02_esrb_Tobacco_Reference	rc_game_02_esrb_Use_of_Alcohol	rc_game_02_esrb_Use_of_Drugs	rc_game_02_esrb_Use_of_Tobacco	rc_game_02_esrb_Violence	rc_game_02_esrb_Violent_References	rc_game_02_rating_PEGI	rc_game_02_violence_PEGI	rc_game_02_language_PEGI	rc_game_02_fear_PEGI	rc_game_02_gambling_PEGI	rc_game_02_sex_PEGI	rc_game_02_drugs_PEGI	rc_game_02_discrimination_PEGI	rc_game_02_how	rc_game_02_multi	rc_game_02_time	rc_game_03_name_PEGI	rc_game_03_edition	rc_game_03_confidence	rc_game_03_rating_ESRB	rc_game_03_esrb_Alcohol	rc_game_03_esrb_Animated_Blood	rc_game_03_esrb_Blood	rc_game_03_esrb_Blood_and_Gore	rc_game_03_esrb_Cartoon_Violence	rc_game_03_esrb_Comic_Mischief	rc_game_03_esrb_Crude_Humor	rc_game_03_esrb_Drug_Reference	rc_game_03_esrb_Fantasy_Violence	rc_game_03_esrb_Intense_Violence	rc_game_03_esrb_Language	rc_game_03_esrb_Lyrics	rc_game_03_esrb_Mature_Humor	rc_game_03_esrb_Nudity	rc_game_03_esrb_Partial_Nudity	rc_game_03_esrb_Real_Gambling	rc_game_03_esrb_Sexual_Content	rc_game_03_esrb_Sexual_Themes	rc_game_03_esrb_Sexual_Violence	rc_game_03_esrb_Simulated_Gambling	rc_game_03_esrb_Strong_Language	rc_game_03_esrb_Strong_Lyrics	rc_game_03_esrb_Strong_Sexual_Content	rc_game_03_esrb_Suggestive_Themes	rc_game_03_esrb_Tobacco_Reference	rc_game_03_esrb_Use_of_Alcohol	rc_game_03_esrb_Use_of_Drugs	rc_game_03_esrb_Use_of_Tobacco	rc_game_03_esrb_Violence	rc_game_03_esrb_Violent_References	rc_game_03_rating_PEGI	rc_game_03_violence_PEGI	rc_game_03_language_PEGI	rc_game_03_fear_PEGI	rc_game_03_gambling_PEGI	rc_game_03_sex_PEGI	rc_game_03_drugs_PEGI	rc_game_03_discrimination_PEGI	rc_game_03_how_PEGI	rc_game_03_multi_PEGI	rc_game_03_time_PEGI	game_one_violent_time	pegi_present_one	pegi_present_two	pegi_present_3	pegi_two_violence	agg_01	agg_02	agg_03	agg_04	agg_05	agg_06	agg_07	agg_08	agg_09	agg_10	agg_11	agg_12	trait_physical	trait_verbal	trait_anger	trait_hostility	child_age	game_two_violent_time	pegi_three_violence	game_three_violent_time	game_violent_time	check	gaming_time	game_violent_time_square	pegi_one_sensitivity	pegi_two_sensitivity	pegi_three_sensitivity	game_one_sensitive_time	game_two_sensitive_time	game_three_sensitive_time	game_sensitive_time	game_sensitive_time_squared	violent_game_player	esrb_01_violence	esrb_present	esrb_present_01	esrb_present_02	esrb_02_violence	esrb_present_03	esrb_03_violence	game_one_time	game_two_time	game_three_time	game_01_violent_time_esrb	game_02_violent_time_esrb	game_03_violent_time_esrb	violent_game_time_esrb	game_violent_time_square_esrb	female	conduct_problems	prosocial	ZRE_1	violent_game_time_semi_partial"
"671	671	Between ?24,500 and ?34,499	White British	2	14	Father	Another way	Certainly true	Not true	Somewhat true	Certainly true	Not true	Somewhat true	Certainly true	Certainly true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Somewhat true	Certainly true	Certainly true	Not true	Not true	Certainly true	Certainly true	Not true	Not true	Certainly true	Not true	Yes	sims	granny	call of duty black ops	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About half an hour a day	Agree	Very unlike me	Very unlike me	Unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	6/20/1974	Male	43	41-55	35 to 44	Scotland	-1	14	1	1	1	3	1	1	The Sims	The Sims 4	1	Rating avaliable for ESRB and PEGI	Teen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 12	Does contain this content	 	 	 	Does contain this content	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	Super Granny	 	Missing rating or App without rating	Everyone 10+	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	Call of Duty	Call of Duty: Black Ops	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About half an hour a day	0,5	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1,333333333	14	0	1	0,5	1	4	1,5	1	1	0	3	0,5	0	1,5	2	4	1	0	1	1	1	0	1	1	0,5	0,5	0,5	0	0	0,5	0,5	0,25	-1	5	15	 	 "
"1620	1620	Between ?6,500 and ?12,499	White British	1	15	Father	Another way	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Not true	Somewhat true	Not true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Certainly true	Not true	Not true	Not true	Somewhat true	Not true	Somewhat true	Not true	Somewhat true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Very unlike me	Unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Unlike me	Neither like or unlike me	Very unlike me	Unlike me	Unlike me	Very unlike me	Very unlike me	01.12.1974	Male	44	41-55	35 to 44	South East	-1	15	1	2	2	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	1	2	3	1	1	2	3	1	2	2	1	1	1	1,333333333	2	2,333333333	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	-1	6	10	 	 "
"1687	1687	Between ?54,500 and ?64,499	White British	2	14	Mother	Another way	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Somewhat true	Somewhat true	Yes	Minecraft	Grand theft auto 7	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 1 hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	 	 	 	Agree	Very unlike me	Like me	Like me	Very unlike me	Like me	Unlike me	Like me	Unlike me	Like me	Unlike me	Neither like or unlike me	Very unlike me	02.03.1972	Female	46	41-55	45 to 54	East of England	-1	14	1	1	2	2	1	2	Minecraft	 	1	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 7	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 1 hour a day	Grand Theft Auto	Grand Theft Auto VII	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	Does contain this content	 	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	Does contain this content	 	 	Does contain this content	Does contain this content	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	1	1	4	4	1	4	2	4	2	4	2	3	1	1,333333333	3	2,666666667	3,666666667	14	1	 	 	2	4	2	4	1	3	 	 	 	 	 	 	1	0	1	1	1	1	0	 	1	1	 	0	1	 	1	1	-1	5	11	 	 "
"15	15	Between ?90,000 and ?99,999	White British	2	14	Father	Male	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Somewhat true	Somewhat true	Certainly true	Certainly true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Unlike me	Like me	Unlike me	Very unlike me	Neither like or unlike me	Very like me	Unlike me	Like me	Neither like or unlike me	Unlike me	Like me	Neither like or unlike me	11.12.1980	Male	37	25-40	35 to 44	London	0	14	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	2	4	2	1	3	5	2	4	3	2	4	3	2,333333333	3,333333333	3,333333333	2,666666667	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	9	14	 	 "
"18	18	Between ?34,500 and ?44,499	White British	3	14	Father	Male	Certainly true	Certainly true	Not true	Not true	Not true	Not true	Somewhat true	Somewhat true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Somewhat true	Not true	Certainly true	Yes	Call of duty black ops 2 and 3	FIFA 18	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 1 hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About half an hour a day	 	 	 	Agree	Unlike me	Like me	Unlike me	Like me	Neither like or unlike me	Unlike me	Like me	Very unlike me	Neither like or unlike me	Like me	Neither like or unlike me	Like me	1/30/1968	Male	50	41-55	45 to 54	Yorkshire and the Humber	0	14	1	2	2	1	1	2	Call of Duty	Call of Duty: Black Ops III	1	Rating avaliable for ESRB and PEGI	Teen	 	 	 	Does contain this content	 	 	 	Does contain this content	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 18	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 1 hour a day	FIFA	FIFA 2018	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 3	 	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About half an hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	0	2	4	2	4	3	2	4	1	3	4	3	4	2,333333333	3,666666667	3	3	14	0	 	 	1	4	1,5	1	3	0	 	 	0	 	0	0	1	1	1	1	1	0	0	 	1	0,5	 	1	0	 	1	1	0	6	13	-0,608160571	-0,608160571"
"19	19	Between ?34,500 and ?44,499	White British	2	15	Father	Male	Certainly true	Somewhat true	Not true	Certainly true	Somewhat true	Not true	Somewhat true	Not true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Not true	Certainly true	Somewhat true	Not true	Somewhat true	Not true	Not true	Not true	Somewhat true	Not true	Not true	Not true	Certainly true	Yes	mine craft	fifa	candy crush	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 1 hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About 1 hour a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 1 hour a day	Neither agree or disagree	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Unlike me	Very unlike me	07.07.1961	Male	56	56-70	55 to 64	North West	0	15	1	2	2	1	2	1	Minecraft	 	1	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 7	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 1 hour a day	FIFA	FIFA (Unspecified)	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 3	 	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About 1 hour a day	Candy Crush Saga	 	Rating avaliable for ESRB and PEGI, but edition unspecified	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 3	 	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 1 hour a day	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1,333333333	15	0	0	0	1	3	3	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	8	11	-0,487847876	-0,487847876"
"20	20	Between ?6,500 and ?12,499	White British	1	14	Mother	Male	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Not true	Not true	Certainly true	Somewhat true	Not true	Somewhat true	Not true	Somewhat true	Somewhat true	Somewhat true	Not true	Not true	Not true	Somewhat true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Very unlike me	Neither like or unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Neither like or unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Very unlike me	Neither like or unlike me	Very unlike me	4/28/1972	Female	45	41-55	45 to 54	North East	0	14	1	1	2	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	1	3	3	1	1	3	3	1	1	1	3	1	1	1,666666667	1,666666667	3	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	5	11	 	 "
"21	21	Between ?90,000 and ?99,999	White British	1	15	Father	Male	Somewhat true	Not true	Not true	Somewhat true	Not true	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Not true	Certainly true	Yes	call of duty ww2	sniper elite 4	sniper ghost warrior 3	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	No	About 2 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	Agree	Like me	Very unlike me	Unlike me	Neither like or unlike me	Unlike me	Very unlike me	Neither like or unlike me	Very unlike me	Unlike me	Very unlike me	Very unlike me	Very unlike me	7/26/1965	Male	52	41-55	45 to 54	London	0	15	1	2	2	1	1	1	Call of Duty	Call of Duty: WWII	1	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 18	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	Sniper Elite	Sniper Elite 4	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	Does contain this content	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	No	About 2 hours a day	Sniper	Sniper: Ghost Warrior 3	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	Does contain this content	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	2	1	1	1	1	4	1	2	3	2	1	3	1	2	1	1	1	2,666666667	1,333333333	1,333333333	2	15	2	1	2	6	4	6	36	3	2	3	6	4	6	16	256	1	0	1	1	1	1	1	1	2	2	2	0	2	2	4	16	0	6	11	1,593226748	1,593226748"
"22	22	Between ?34,500 and ?44,499	White British	2	14	Mother	Male	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Not true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Not true	Somewhat true	Certainly true	Not true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Not true	Somewhat true	Certainly true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Very like me	Neither like or unlike me	Like me	Unlike me	Neither like or unlike me	Neither like or unlike me	Unlike me	Neither like or unlike me	Like me	Very unlike me	Very unlike me	Unlike me	05.06.1984	Female	33	25-40	25 to 34	South West	0	14	1	3	1	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	5	3	4	2	3	3	2	3	4	1	1	2	3,333333333	2,666666667	2,666666667	2,333333333	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	14	11	 	 "
"28	28	Between ?74,500 and ?89,999	White British	2	15	Father	Male	Certainly true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Certainly true	Certainly true	Somewhat true	Yes	gow	mk	cod	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 3 hours a day	Strongly agree	Like me	Like me	Very like me	Like me	Like me	Like me	Neither like or unlike me	Neither like or unlike me	Like me	Like me	Like me	Very like me	08.01.1982	Male	35	25-40	35 to 44	London	0	15	1	1	2	2	2	2	God of War	God of War Ascension	1	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	Does contain this content	 	 	 	Does contain this content	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 18	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	Mortal Kombat	Mortal Kombat (Unspecified)	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	Call of Duty	Call of Duty (Unspecifed)	Rating avaliable for ESRB and PEGI, but edition unspecified	Teen	 	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 3 hours a day	2	1	1	1	1	4	4	5	4	4	4	3	3	4	4	4	5	3,666666667	4,333333333	4	4	15	2	1	3	7	5	7	49	3	3	3	9	9	9	27	729	1	1	1	1	1	0	1	1	2	2	3	2	0	3	5	25	0	12	13	1,913021163	1,913021163"
